simulation_time,target_angle_rad,joint_angle_rad,joint_velocity_rad_s,angle_error_rad,commanded_torque_nm
0.002000,-0.800000,-0.002386,-1.192863,-0.797614,-17.881420
0.012000,-0.800000,-0.035286,-4.247242,-0.764714,-9.653489
0.022000,-0.800000,-0.085025,-5.310695,-0.714975,-6.099782
0.032000,-0.800000,-0.140352,-5.619424,-0.659648,-4.165083
0.042000,-0.800000,-0.196532,-5.583433,-0.603468,-2.978393
0.052000,-0.800000,-0.251206,-5.377925,-0.548794,-2.225223
0.062000,-0.800000,-0.303432,-5.107248,-0.496568,-1.664009
0.072000,-0.800000,-0.352543,-4.775034,-0.447457,-1.297645
0.082000,-0.800000,-0.398163,-4.418402,-0.401837,-1.058824
0.092000,-0.800000,-0.440173,-4.055823,-0.359827,-0.906965
0.102000,-0.800000,-0.478576,-3.698016,-0.321424,-0.820368
0.112000,-0.800000,-0.513493,-3.357380,-0.286507,-0.772696
0.122000,-0.800000,-0.545115,-3.034260,-0.254885,-0.753644
0.132000,-0.800000,-0.573626,-2.731570,-0.226374,-0.758550
0.142000,-0.800000,-0.599226,-2.448361,-0.200774,-0.783466
0.152000,-0.800000,-0.622118,-2.185973,-0.177882,-0.823156
0.162000,-0.800000,-0.642515,-1.945026,-0.157485,-0.872202
0.172000,-0.800000,-0.660631,-1.725443,-0.139369,-0.926474
0.182000,-0.800000,-0.676676,-1.526651,-0.123324,-0.982846
0.192000,-0.800000,-0.690852,-1.347114,-0.109148,-1.039391
0.202000,-0.800000,-0.703328,-1.183627,-0.096672,-1.100032
0.212000,-0.800000,-0.714275,-1.037789,-0.085725,-1.158765
0.222000,-0.800000,-0.723871,-0.909659,-0.076129,-1.211051
0.232000,-0.800000,-0.732283,-0.797611,-0.067717,-1.256105
0.242000,-0.800000,-0.739661,-0.699630,-0.060339,-1.294777
0.252000,-0.800000,-0.746133,-0.613827,-0.053867,-1.328090
0.262000,-0.800000,-0.751807,-0.537608,-0.048193,-1.358745
0.272000,-0.800000,-0.756774,-0.470756,-0.043226,-1.386236
0.282000,-0.800000,-0.761127,-0.412639,-0.038873,-1.409320
0.292000,-0.800000,-0.764944,-0.362122,-0.035056,-1.428445
0.302000,-0.800000,-0.768297,-0.318105,-0.031703,-1.444354
0.312000,-0.800000,-0.771243,-0.279642,-0.028757,-1.457724
0.322000,-0.800000,-0.773833,-0.245942,-0.026167,-1.469097
0.332000,-0.800000,-0.776112,-0.216348,-0.023888,-1.478895
0.342000,-0.800000,-0.778117,-0.190309,-0.021883,-1.487446
0.352000,-0.800000,-0.779880,-0.167358,-0.020120,-1.495004
0.362000,-0.800000,-0.781430,-0.147107,-0.018570,-1.501768
0.372000,-0.800000,-0.782792,-0.129258,-0.017208,-1.507806
0.382000,-0.800000,-0.783989,-0.113488,-0.016011,-1.513281
0.392000,-0.800000,-0.785038,-0.099522,-0.014962,-1.518349
0.402000,-0.800000,-0.785958,-0.087131,-0.014042,-1.523123
0.412000,-0.800000,-0.786762,-0.076120,-0.013238,-1.527683
0.422000,-0.800000,-0.787464,-0.066326,-0.012536,-1.532090
0.432000,-0.800000,-0.788074,-0.057606,-0.011926,-1.536389
0.442000,-0.800000,-0.788596,-0.048118,-0.011404,-1.542775
0.452000,-0.800000,-0.789012,-0.037451,-0.010988,-1.555017
0.462000,-0.800000,-0.789334,-0.029068,-0.010666,-1.565642
0.472000,-0.800000,-0.789586,-0.022850,-0.010414,-1.573197
0.482000,-0.800000,-0.789785,-0.018118,-0.010215,-1.578764
0.492000,-0.800000,-0.789941,-0.013829,-0.010059,-1.583948
0.502000,-0.800000,-0.790056,-0.010216,-0.009944,-1.589135
0.512000,-0.800000,-0.790147,-0.008570,-0.009853,-1.591255
0.522000,-0.800000,-0.790229,-0.007941,-0.009771,-1.591129
0.532000,-0.800000,-0.790306,-0.007667,-0.009694,-1.590246
0.542000,-0.800000,-0.790382,-0.007517,-0.009618,-1.589119
0.552000,-0.800000,-0.790457,-0.007413,-0.009543,-1.587927
0.562000,-0.800000,-0.790530,-0.007325,-0.009470,-1.586729
0.572000,-0.800000,-0.790603,-0.007244,-0.009397,-1.585548
0.582000,-0.800000,-0.790675,-0.007167,-0.009325,-1.584388
0.592000,-0.800000,-0.790746,-0.007091,-0.009254,-1.583251
0.602000,-0.800000,-0.790817,-0.007017,-0.009183,-1.582136
0.612000,-0.800000,-0.790886,-0.006944,-0.009114,-1.581041
0.622000,-0.800000,-0.790955,-0.006872,-0.009045,-1.579965
0.632000,-0.800000,-0.791024,-0.006802,-0.008976,-1.578907
0.642000,-0.800000,-0.791091,-0.006734,-0.008909,-1.577864
0.652000,-0.800000,-0.791158,-0.006666,-0.008842,-1.576835
0.662000,-0.800000,-0.791224,-0.006600,-0.008776,-1.575819
0.672000,-0.800000,-0.791290,-0.006536,-0.008710,-1.574813
0.682000,-0.800000,-0.791355,-0.006473,-0.008645,-1.573817
0.692000,-0.800000,-0.791419,-0.006411,-0.008581,-1.572829
0.702000,-0.800000,-0.791483,-0.006351,-0.008517,-1.571848
0.712000,-0.800000,-0.791546,-0.006299,-0.008454,-1.570860
0.722000,-0.800000,-0.791609,-0.006246,-0.008391,-1.569875
0.732000,-0.800000,-0.791671,-0.006192,-0.008329,-1.568899
0.742000,-0.800000,-0.791733,-0.006137,-0.008267,-1.567929
0.752000,-0.800000,-0.791794,-0.006083,-0.008206,-1.566962
0.762000,-0.800000,-0.791854,-0.006029,-0.008146,-1.565997
0.772000,-0.800000,-0.791914,-0.005977,-0.008086,-1.565031
0.782000,-0.800000,-0.791974,-0.005926,-0.008026,-1.564065
0.792000,-0.800000,-0.792033,-0.005876,-0.007967,-1.563097
0.802000,-0.800000,-0.792091,-0.005827,-0.007909,-1.562126
0.812000,-0.800000,-0.792149,-0.005779,-0.007851,-1.561153
0.822000,-0.800000,-0.792207,-0.005733,-0.007793,-1.560177
0.832000,-0.800000,-0.792264,-0.005687,-0.007736,-1.559197
0.842000,-0.800000,-0.792320,-0.005643,-0.007680,-1.558212
0.852000,-0.800000,-0.792376,-0.005600,-0.007624,-1.557224
0.862000,-0.800000,-0.792432,-0.005558,-0.007568,-1.556231
0.872000,-0.800000,-0.792487,-0.005517,-0.007513,-1.555234
0.882000,-0.800000,-0.792542,-0.005476,-0.007458,-1.554232
0.892000,-0.800000,-0.792597,-0.005437,-0.007403,-1.553225
0.902000,-0.800000,-0.792651,-0.005399,-0.007349,-1.552214
0.912000,-0.800000,-0.792705,-0.005361,-0.007295,-1.551198
0.922000,-0.800000,-0.792758,-0.005324,-0.007242,-1.550178
0.932000,-0.800000,-0.792811,-0.005288,-0.007189,-1.549154
0.942000,-0.800000,-0.792864,-0.005253,-0.007136,-1.548126
0.952000,-0.800000,-0.792916,-0.005238,-0.007084,-1.547071
0.962000,-0.800000,-0.792969,-0.005245,-0.007031,-1.545948
0.972000,-0.800000,-0.793021,-0.005236,-0.006979,-1.544848
0.982000,-0.800000,-0.793073,-0.005212,-0.006927,-1.543782
0.992000,-0.800000,-0.793125,-0.005180,-0.006875,-1.542740
1.002000,-0.800000,-0.793177,-0.005145,-0.006823,-1.541714
1.012000,-0.800000,-0.793228,-0.005108,-0.006772,-1.540700
1.022000,-0.800000,-0.793279,-0.005070,-0.006721,-1.539695
1.032000,-0.800000,-0.793329,-0.005032,-0.006671,-1.538698
1.042000,-0.800000,-0.793380,-0.004994,-0.006620,-1.537709
1.052000,-0.800000,-0.793429,-0.004957,-0.006571,-1.536728
1.062000,-0.800000,-0.793479,-0.004920,-0.006521,-1.535754
